股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300789,唐源电气,21.42,+3.57,20%,22.61%,2066432,43401789,3.76%,32.438,1.116%,1787034315
SZ300492,华图山鼎,50.98,+7.65,17.66%,43.48%,1800060,82917236,1.28%,521.04,0.042%,7094566735
SH688073,毕得医药,123.91,+15.12,13.9%,50.83%,536625,64360953,4.02%,62.407,,8043790133
SH688508,芯朋微,82.16,+9.61,13.25%,26.77%,2698953,216158570,3.77%,61.615,0.722%,9310318618
SH688489,三未信安,125.65,+13.65,12.19%,24%,841977,104785483,5.18%,109.939,,9619295074
SH688153,唯捷创芯-U,48.75,+5.14,11.79%,32.73%,1351810,63588047,4.2%,-329.151,,19920196628
SH688506,百利天恒-U,54.1,+5.65,11.66%,119.03%,2536868,127649760,7.67%,-60.756,,21694100000
SH688338,赛科希德,46.45,+4.65,11.12%,40.8%,2690655,121502326,5.49%,35.086,0.536%,3792549600
SZ002280,联络互动,3.16,+0.29,10.1%,13.67%,113660993,355762940,6.02%,-8.828,,6879792973
SZ000785,居然之家,4.26,+0.39,10.08%,4.16%,27226401,112972285,0.99%,12.808,3.866%,27813697190
SZ002251,步步高,7.33,+0.67,10.06%,1.95%,58472786,415972390,6.77%,-16.563,1.364%,6332415961
SH601828,美凯龙,5.15,+0.47,10.04%,9.81%,3826153,19704688,0.11%,17.245,1.942%,22426873266
SH600501,航天晨光,12.49,+1.14,10.04%,13.75%,7025288,86527062,1.67%,77.987,,5394788214
SZ002793,罗欣药业,8.55,+0.78,10.04%,11.47%,10328957,86263806,1.73%,-16.017,0.468%,9298881555
SZ002144,宏达高科,13.48,+1.23,10.04%,33.47%,7458113,99056885,5.41%,57.592,0.742%,2382758877
SZ000701,厦门信达,7.46,+0.68,10.03%,27.3%,7862068,58651027,1.91%,1374.787,,4211754685
SH600130,波导股份,5.27,+0.48,10.02%,18.43%,76322609,392904862,9.94%,139.178,,4047360000
SZ002474,榕基软件,9.89,+0.9,10.01%,17.32%,36951887,355576632,7.42%,327.627,0.101%,6153558000
SH600128,弘业股份,9.34,+0.85,10.01%,20.05%,9888579,89657774,4.01%,63.874,1.499%,2304808450
SH600559,老白干酒,31.64,+2.88,10.01%,14.93%,28601627,882037861,3.19%,42.996,0.478%,28942609128
SZ001339,智微智能,23.53,+2.14,10%,15.68%,6836501,157552739,11.07%,39.585,,5811086450
SZ002927,泰永长征,14.41,+1.31,10%,42.39%,1927645,27777364,0.88%,33.266,0.833%,3216442987
SH600095,湘财股份,9.91,+0.9,9.99%,31.08%,89897312,859224441,7.96%,-1431.07,1.342%,28294278434
SZ002560,通达股份,9.69,+0.88,9.99%,42.08%,34352871,331828673,7.63%,80.396,,5122324602
SZ002678,珠江钢琴,6.72,+0.61,9.98%,12.56%,10728425,70236390,0.79%,72.325,0.64%,9162117371
SH603399,吉翔股份,15.65,+1.42,9.98%,13.41%,15257237,233811047,3%,67.496,,8116882657
SZ002363,隆基机械,8.82,+0.8,9.98%,25.11%,56609937,468571163,13.6%,96.445,2.256%,3696993855
SZ002808,恒久科技,8.93,+0.81,9.98%,24.55%,19276130,163222223,11.23%,-14.49,,2400384000
SZ002279,久其软件,8.84,+0.8,9.95%,25.21%,114539420,987671676,14.53%,-74.241,,7653394636
SH688266,泽璟制药-U,51.47,+4.62,9.86%,23.43%,1801583,89256199,1.28%,-21.537,,12352800000
SH600814,杭州解百,7.66,+0.67,9.59%,3.65%,13143593,98668116,1.84%,18.057,2.497%,5637247224
SH688023,安恒信息,171.5,+14.75,9.41%,-13.38%,1326840,223610879,1.86%,-70.644,,13518726743
SH688368,晶丰明源,140.71,+11.99,9.31%,25.97%,880889,120635877,2.25%,-83.658,2.861%,8851190884
SH600483,福能股份,11.94,+1,9.14%,12.85%,25615911,301391082,1.47%,12.726,1.771%,23337554529
SH688046,药康生物,29.18,+2.44,9.12%,21.33%,1530710,42981519,3.4%,70.976,,11963800000
SZ002368,太极股份,33.8,+2.82,9.1%,20.16%,9820906,321895697,1.66%,49.053,0.564%,20105896987
SH603708,家家悦,13.18,+1.09,9.02%,4.69%,4735056,60376715,0.78%,-24.686,,8018742578
SH603790,雅运股份,12.36,+1,8.8%,23.48%,2382226,28666994,1.24%,35.395,0.971%,2365209600
SH600572,康恩贝,4.96,+0.4,8.77%,4.86%,63306852,305919962,2.47%,6.313,3.245%,12747385102
SZ002576,通达动力,24.45,+1.95,8.67%,107.73%,34983147,851699725,21.6%,66.974,0.327%,4036695000
SH600203,福日电子,6.57,+0.52,8.6%,12.31%,26804508,171362181,4.74%,-22.139,,3895931699
SH688114,华大智造,114.25,+8.99,8.54%,2.83%,608819,67676739,1.91%,23.114,,47337742903
SH600009,上海机场,62.89,+4.89,8.43%,8.98%,27413908,1717275976,2.51%,-52.613,,156500591473
SH688078,龙软科技,37.5,+2.9,8.38%,17.3%,722873,26458006,1.59%,35.152,0.714%,2677875000
SZ002028,思源电气,43.55,+3.33,8.28%,13.95%,4261460,182401692,0.71%,30.587,0.456%,33510798779
SZ301363,美好医疗,44.8,+3.41,8.24%,6.9%,1336657,58344572,3.53%,45.438,,18210234800
SH600616,金枫酒业,7.14,+0.54,8.18%,2.59%,17785851,124062172,2.66%,-651.409,0.425%,4776695343
SZ002991,甘源食品,78.51,+5.9,8.13%,2.91%,565200,43647163,1.55%,44.257,1.39%,7318374892
SZ002821,凯莱英,164.8,+12.3,8.07%,11.35%,4851922,774887542,1.48%,19.629,0.352%,61047436725
SH688225,亚信安全,19.18,+1.41,7.93%,13.42%,1327867,25199675,3.86%,-105.918,0.733%,7672191800
SZ001209,洪兴股份,17.33,+1.26,7.84%,27.8%,10057655,174149772,27.05%,69.528,2.032%,2277973510
SZ301391,卡莱特,115.35,+8.37,7.82%,34.91%,470399,52767272,3.11%,65.002,,7843800000
SH688686,奥普特,147.69,+10.69,7.8%,11.89%,519313,74993809,1.52%,49.337,0.52%,18027630978
SZ002687,乔治白,5.12,+0.37,7.79%,5.35%,47102197,238188567,11.71%,15.886,2.685%,2593325000
SZ002439,启明星辰,28.76,+2.07,7.76%,10.28%,7892178,223787197,1.09%,43.587,0.087%,27396877753
SH600276,恒瑞医药,42.27,+3,7.64%,9.71%,41087631,1693231262,0.64%,77.046,0.382%,269640426122
SZ002500,山西证券,5.92,+0.42,7.64%,11.7%,38715712,223511365,1.08%,37.665,2.065%,21251447558
SH688561,奇安信-U,71.68,+5.07,7.61%,8.99%,1846712,129856095,0.4%,-86.885,,48892177009
SZ002268,电科网安,32.7,+2.3,7.57%,7.11%,21012972,675946164,2.5%,102.707,0.152%,27668623684
SH688336,三生国健,14.43,+0.98,7.29%,13.62%,1080530,15222420,1.17%,656.91,,8900218993
SZ301166,优宁维,51.74,+3.48,7.21%,13.14%,1480425,75143017,3.59%,41.362,0.964%,4484133402
SH688207,格灵深瞳-U,26.09,+1.73,7.1%,13.43%,1449625,37243412,3.24%,-37563.007,,4826149568
SZ300985,致远新能,22.7,+1.5,7.08%,8.4%,1710558,39235616,4.7%,-118.748,0.525%,3036001518
SH688045,必易微,68.06,+4.46,7.01%,24.42%,588339,39399212,3.84%,54.416,,4699470788
SZ301380,挖金客,37.83,+2.47,6.99%,8.4%,1695256,63077626,9.94%,41.745,1.799%,2570400000
SH688065,凯赛生物,64.18,+4.18,6.97%,4.72%,1029970,64409314,0.39%,61.747,0.508%,37434794555
SH688062,迈威生物-U,18.14,+1.18,6.96%,25.54%,3310731,59057625,3.5%,-7.154,,7248744000
SZ300659,中孚信息,28.78,+1.87,6.95%,7.91%,5525939,158500078,3.59%,-22.555,0.343%,6519738154
SH688622,禾信仪器,40.21,+2.61,6.94%,23.72%,539995,21225278,1.42%,-580.455,0.422%,2814603737
SH600794,保税科技,4.01,+0.26,6.93%,2.56%,23966540,95440064,1.98%,35.406,0.737%,4860730150
SH688426,康为世纪,44.15,+2.82,6.82%,24.58%,897040,39570219,4.48%,22.41,,4129039258
SZ001301,尚太科技,92.49,+5.89,6.8%,56.66%,7109314,650846233,10.95%,19.232,,24010966278
SH603237,五芳斋,50.41,+3.2,6.78%,6.91%,3667731,181392282,14.56%,36.461,1.4%,5078454630
SH603110,东方材料,37,+2.34,6.75%,9.08%,1635903,59461303,0.81%,691.896,0.489%,7445389084
SH603676,卫信康,17.96,+1.13,6.71%,12.81%,1666300,29070893,0.39%,47.499,0.897%,7815500540
SH688030,山石网科,21.84,+1.37,6.69%,12.23%,1039495,22545979,0.58%,68.469,0.57%,3936198564
SH688323,瑞华泰,24.8,+1.54,6.62%,4.29%,603407,14758684,0.63%,94.768,0.279%,4464000000
SZ300309,*ST吉艾,0.81,+0.05,6.58%,-43.36%,31712440,25093620,3.79%,-0.837,,717760250
SH688244,永信至诚,57.27,+3.52,6.55%,5.08%,306733,17452123,3.22%,44.514,,2682028723
SZ301367,怡和嘉业,227.07,+13.78,6.46%,3.42%,427464,95192928,2.82%,49.058,,14529920000
SH688320,禾川科技,52.01,+3.15,6.45%,11.13%,405456,20572661,1.26%,70.543,,7854220873
SH600391,航发科技,19.26,+1.16,6.41%,8.38%,9174042,175659051,2.78%,90.407,,6358291608
SZ301117,佳缘科技,73,+4.32,6.29%,-7.94%,410400,29287823,1.96%,80.159,0.553%,6727839836
SZ301263,泰恩康,41.1,+2.42,6.26%,26.46%,1426425,57426256,2.66%,57.894,0.862%,9715526250
SZ300369,绿盟科技,11.73,+0.69,6.25%,14.89%,9106669,105403294,1.24%,77.706,0.569%,9383366853
SH600882,妙可蓝多,36.08,+2.12,6.24%,13.32%,4942514,174911529,0.97%,120.436,,18619991304
SZ301012,扬电科技,39.15,+2.26,6.13%,12.15%,415715,15751715,0.98%,42.314,0.265%,3274320000
SH688382,益方生物-U,16.8,+0.96,6.06%,26.51%,1199712,19706174,1.21%,-19.128,,9660000000
SH688031,星环科技-U,90.2,+5.15,6.06%,-0.88%,623637,54965976,2.35%,-39.608,,10899954534
SZ300831,派瑞股份,15.13,+0.86,6.03%,15.76%,7084600,106809827,3.84%,83.254,0.197%,4838400000
SH688293,奥浦迈,121.9,+6.9,6%,18.12%,184735,22115644,1.09%,102.666,,9993401983
SH688630,芯碁微装,90.26,+5.03,5.9%,8.17%,1070952,95621847,1.6%,83.366,0.219%,10903408000
SH600705,中航产融,3.95,+0.22,5.9%,20.43%,163022610,634832372,1.85%,10.212,3.949%,34881233447
SH688319,欧林生物,17.49,+0.96,5.81%,26.1%,3770918,65361570,1.32%,100.586,,7088084850
SZ300454,深信服,137,+7.52,5.81%,21.72%,1214260,162520383,0.45%,-184.706,0.051%,56940038092
SH603501,韦尔股份,89.25,+4.88,5.78%,15.77%,21957767,1894042394,1.86%,34.025,0.428%,105624162714
SZ300705,九典制药,26.85,+1.46,5.75%,10.49%,2913191,76871606,1.36%,37.7,0.668%,9194120246
SH688373,盟科药业-U,9.93,+0.54,5.75%,12.08%,6071844,59138053,5.12%,-22.41,,6506236134
SH688265,南模生物,52.75,+2.87,5.75%,7.65%,251252,13073629,0.52%,137.222,0.489%,4112575311
SH688036,传音控股,81.1,+4.37,5.7%,1.99%,1452590,115315275,0.18%,19.796,1.873%,65200373385
SH688409,富创精密,111.73,+6.03,5.7%,3.35%,1089193,121038258,2.45%,112.998,,23357529008
SZ300539,横河精密,10.84,+0.58,5.65%,8.08%,2604197,27870228,1.53%,97.452,0.724%,2407806599
SZ300973,立高食品,99.99,+5.34,5.64%,3.96%,382726,37295175,0.54%,90.973,0.506%,16922146200
SH600571,信雅达,10.32,+0.55,5.63%,11.93%,11066005,112653503,2.48%,-83.236,2.408%,4955237051
SH688787,海天瑞声,64.1,+3.4,5.6%,7.39%,261052,16531119,0.91%,111.677,0.39%,2743480000
SH688505,复旦张江,9.28,+0.49,5.57%,11.14%,2157947,19600343,0.8%,72.614,0.761%,9549120000
SZ300366,创意信息,11.44,+0.6,5.54%,18.92%,17621328,199023914,3.55%,-67.22,,6950671156
SZ300226,上海钢联,29.99,+1.57,5.52%,8.23%,4435895,131809393,1.72%,50.411,0.235%,8016413011
SH600908,无锡银行,5.77,+0.3,5.48%,9.49%,26588282,151393941,1.5%,5.867,3.147%,10741888615
SZ002847,盐津铺子,112.92,+5.82,5.43%,4.28%,458933,51130877,0.4%,49.983,0.894%,14541855870
SH603232,格尔软件,17.32,+0.89,5.42%,13.95%,5170940,88880104,2.22%,77.688,0.741%,4031928481
SZ300105,龙源技术,8.19,+0.42,5.41%,3.54%,5527966,44900552,1.08%,42.129,,4250449804
SH603055,台华新材,10.74,+0.55,5.4%,6.34%,3961425,41930161,0.45%,25.012,1.539%,9590024252
SZ301062,上海艾录,9.22,+0.47,5.37%,18.21%,4173300,38068587,1.6%,32.839,0.649%,3691612396
SH688137,近岸蛋白,90.49,+4.59,5.34%,19.07%,530397,47400265,3.26%,57.165,,6350175475
SZ002609,捷顺科技,8.69,+0.44,5.33%,-3.44%,4088800,35005033,0.91%,52.92,0.345%,5631088728
SH688037,芯源微,172,+8.7,5.33%,9.9%,1185390,200515644,1.33%,94.966,0.16%,15930364628
SH603808,歌力思,10.1,+0.51,5.32%,10.99%,3624336,36124948,0.98%,26.503,2.488%,3727838068
SH600420,国药现代,10.32,+0.52,5.31%,13.41%,10997000,111051756,1.07%,33.271,0.856%,12095927861
SZ002718,友邦吊顶,15.31,+0.77,5.3%,12.99%,1466100,22256986,2.38%,-7.05,,2012466262
SZ300782,卓胜微,131.33,+6.48,5.19%,14.9%,3868258,501251604,0.92%,44.104,0.331%,70135795156
SH688016,心脉医疗,225.03,+11.09,5.18%,19.04%,571830,126845343,1.48%,44.164,0.935%,16197242419
SZ301333,诺思格,103.49,+5.09,5.17%,25.69%,232299,23388530,1.54%,55.37,,6216600000
SZ002776,ST柏龙,3.05,+0.15,5.17%,0%,3095400,9374410,0.58%,-1.036,,1640866773
SH688152,麒麟信安,192.5,+9.44,5.16%,12.64%,304125,57937299,2.69%,71.901,,10172609370
SH688058,宝兰德,43.59,+2.14,5.16%,6.68%,238257,10285718,0.58%,-361.364,0.979%,2441040000
SH688160,步科股份,32.81,+1.61,5.16%,13.06%,428510,13835635,1.55%,32.766,0.917%,2756040000
SH688428,诺诚健华-U,16.75,+0.82,5.15%,18.71%,3637261,60227782,1.58%,-28.487,,29552384321
SH600343,航天动力,9.43,+0.46,5.13%,7.77%,10819601,101541296,1.7%,-27.744,,6018285862
SZ300796,贝斯美,21.41,+1.04,5.11%,5.99%,3353400,71026099,1.67%,33.754,0.202%,4299606528
SZ300756,金马游乐,16.08,+0.78,5.1%,-3.02%,1264608,19895092,1.37%,-591.034,0.201%,2278501746
SZ001228,永泰运,56.82,+2.75,5.09%,14.76%,1521702,84399476,5.85%,19.6,0.517%,5897432499
SH603518,锦泓集团,7.03,+0.34,5.08%,4.93%,9664417,68323613,2.78%,15.702,,2440854110
SH688099,晶晨股份,73.21,+3.54,5.08%,3.83%,2098080,152193648,0.51%,30.579,,30272326215
SZ002772,众兴菌业,8.53,+0.41,5.05%,2.52%,13123610,111901122,3.26%,15.65,1.163%,3475611016
SH600242,*ST中昌,1.47,+0.07,5%,27.83%,12115089,17646930,2.68%,-1.232,,671297729
SH600599,ST熊猫,13.92,+0.66,4.98%,-0.5%,2995813,41145778,1.8%,28.67,,2310720000
SZ300716,国立科技,16.27,+0.77,4.97%,18.33%,3763333,61213944,2.35%,-64.273,,2605125600
SH688238,和元生物,23.86,+1.13,4.97%,25.18%,1253683,29830591,1.72%,199.081,,11767489540
SZ301030,仕净科技,40.3,+1.89,4.92%,-3.38%,3926242,161343208,3.76%,64.673,,5374666694
SZ002217,合力泰,3.2,+0.15,4.92%,25.49%,157115178,509580100,5.05%,-6.293,,9972531904
SZ300590,移为通信,10.52,+0.49,4.89%,7.24%,6189922,64465837,1.83%,26.35,0.951%,4820723221
SZ200152,*ST山航B,3.45,+0.16,4.86%,-30.44%,813600,2767469,0.58%,-0.188,,1380000000
SZ000564,ST大集,1.51,+0.07,4.86%,-5.03%,274946474,412175592,1.81%,-351.506,,28937303776
SZ000403,派林生物,23.37,+1.08,4.85%,2.68%,4371570,100884657,0.72%,39.126,0.24%,17085961156
SZ000510,新金路,6.27,+0.29,4.85%,7%,8728917,54059082,1.54%,39.688,,3819572733
SH688418,震有科技,11.91,+0.55,4.84%,2.41%,707553,8260833,0.53%,-17.77,,2305895100
SH688318,财富趋势,143.39,+6.61,4.83%,60.84%,1141091,159471793,3.96%,82.836,0.699%,13383735820
SZ002025,航天电器,62.15,+2.86,4.82%,-6.19%,3365982,207049599,0.74%,52.582,0.323%,28110326098
SZ300915,海融科技,46.06,+2.12,4.82%,10.19%,408116,18450037,1.62%,42.774,0.881%,4152600000
SZ301257,普蕊斯,61.47,+2.82,4.81%,28.28%,317700,19241740,2.12%,72.028,,3748133250
SH688210,统联精密,24.45,+1.12,4.8%,10.78%,364213,8739292,0.5%,36.312,0.587%,2738400000
SH688168,安博通,35.69,+1.63,4.79%,11.57%,388334,13732380,0.54%,370.409,0.379%,2716041407
SH603486,科沃斯,85.87,+3.92,4.78%,17.73%,4905410,412371518,0.87%,27.332,1.294%,49246452213
SZ300577,开润股份,16.25,+0.74,4.77%,1.94%,523380,8381880,0.4%,39.594,0.618%,3896606220
SH688381,帝奥微,45.03,+2.05,4.77%,13.37%,748765,33133045,1.32%,53.155,,11356566000
SH600536,中国软件,62.86,+2.86,4.77%,7.77%,13311496,837268672,2.07%,293.24,0.06%,41487230195
SZ300142,沃森生物,41.13,+1.87,4.76%,2.34%,15049885,610209585,0.96%,110.9,0.066%,66008010926
SH600055,万东医疗,21.17,+0.96,4.75%,8.34%,5871754,124534416,1.09%,89.658,0.474%,14883802598
SZ300753,爱朋医疗,17.02,+0.77,4.74%,-5.81%,2235000,37923739,2.97%,-43.942,,2149118400
SZ300212,易华录,24.98,+1.13,4.74%,22.39%,14774219,365281329,2.3%,-94.14,,16625383296
SZ300171,东富龙,28.5,+1.29,4.74%,20.1%,7944096,227327055,1.83%,24.631,1.137%,21529328640
SZ002912,中新赛克,35.64,+1.61,4.73%,12.64%,1108700,39101112,0.68%,243.685,,6115490844
SZ300358,楚天科技,16.65,+0.75,4.72%,12.88%,5859680,97142055,1.13%,15.231,0.727%,9574632184
SZ000587,*ST金洲,0.89,+0.04,4.71%,-4.3%,36089600,32111902,2.97%,-1.695,,1890136904
SH688383,新益昌,98.3,+4.42,4.71%,3.6%,487334,47354730,1.7%,35.41,0.508%,10039732880
SH688766,普冉股份,182.88,+8.23,4.71%,20.36%,186617,33700832,0.68%,44.837,0.427%,9275711456
SZ300327,中颖电子,41.01,+1.84,4.7%,15.95%,4652749,189029436,1.38%,33.912,1.058%,14027030955
SH600131,国网信通,16.73,+0.75,4.69%,11.83%,3170775,52196247,0.29%,27.753,1.011%,20120653106
SZ300363,博腾股份,44.67,+2,4.69%,9.35%,11464360,504976699,2.29%,14.029,0.432%,24369203755
SH688133,泰坦科技,152,+6.77,4.66%,9.77%,157359,23493723,0.3%,82.568,0.119%,12778891712
SH688198,佰仁医疗,135.88,+6.04,4.65%,5.33%,105818,14152384,0.15%,260.301,0.261%,18435191257
SZ000710,贝瑞基因,12.37,+0.55,4.65%,8.41%,3400900,41470814,1.11%,-27.031,,4382928491
SZ002212,天融信,10.65,+0.47,4.62%,6.61%,8978504,94600270,0.77%,-125.094,0.188%,12606616662
SH603919,金徽酒,27.51,+1.21,4.6%,2.84%,6395357,173014909,1.26%,47.228,0.805%,13954722517
SH688372,伟测科技,105.49,+4.64,4.6%,10.76%,389142,40444026,2.17%,43.187,,9199856743
SH600850,电科数字,21.15,+0.92,4.55%,5.33%,2948635,61433465,0.53%,43.413,1.125%,14489322418
SH600570,恒生电子,44.13,+1.92,4.55%,9.07%,6170641,268224383,0.32%,106.047,0.176%,83847284285
SZ002528,英飞拓,11.98,+0.52,4.54%,6.77%,68476331,788901859,6.54%,-9.541,,14348140732
SH603719,良品铺子,37.63,+1.63,4.53%,2.06%,1376078,50971032,0.62%,59.657,0.566%,15089630000
SZ002424,贵州百灵,8.3,+0.36,4.53%,1.72%,48775277,403101615,4.06%,113.191,,11712960000
SH688588,凌志软件,11.59,+0.5,4.51%,14.19%,1509747,17259809,0.59%,37.934,1.726%,4636115935
SZ002979,雷赛智能,24.16,+1.04,4.5%,6.86%,1699600,40523944,1.08%,30.905,0.81%,7467856000
SZ301013,利和兴,10.44,+0.45,4.5%,18.5%,5603674,57938878,3.37%,176.931,0.644%,2437940074
SZ300111,向日葵,3.72,+0.16,4.49%,14.11%,18587031,68662769,1.66%,113.886,,4165656000
SH688798,艾为电子,110.16,+4.71,4.47%,15.31%,346993,37736058,0.49%,124.539,0.727%,18286560000
SH600079,人福医药,27.41,+1.17,4.46%,14.73%,7373900,199807620,0.51%,18.282,0.544%,44752732979
SH688290,景业智能,76.05,+3.25,4.46%,5.51%,131372,9813686,0.75%,63.364,,6266520000
SH688150,莱特光电,23.45,+1,4.45%,21.19%,466936,10753385,1.36%,68.463,0.436%,9437161368
SZ002230,科大讯飞,34.74,+1.48,4.45%,5.82%,11049827,378248182,0.52%,64.67,0.289%,80634221570
SH688213,思特威-W,44.18,+1.88,4.44%,13.87%,331024,14517880,1.03%,486.624,,17672441800
SZ300354,东华测试,42.5,+1.8,4.42%,11.23%,276500,11648101,0.35%,61.012,0.414%,5881374947
SH600685,中船防务,21.32,+0.9,4.41%,2.7%,9732023,209556607,1.18%,310.859,0.643%,30135955979
SZ000032,深桑达A,23.45,+0.99,4.41%,16.38%,13877519,324502002,2.15%,-134.71,0.425%,26685144037
SZ300253,卫宁健康,10.44,+0.44,4.4%,1.56%,9233163,95105477,0.5%,86.662,0.192%,22422297045
SZ301188,力诺特玻,16.42,+0.69,4.39%,20.56%,1933270,31370285,1.28%,32.582,1.219%,3809199900
SZ002451,摩恩电气,6.89,+0.29,4.39%,19.41%,47300988,331906415,10.77%,197.027,,3026088000
SH688277,天智航-U,13.14,+0.55,4.37%,10.51%,3185214,41293976,1.08%,-53.658,,5516787583
SZ002607,中公教育,5.05,+0.21,4.34%,9.07%,98895156,492133752,1.81%,-12.971,,31145366914
SZ300026,红日药业,6.02,+0.25,4.33%,5.99%,37372156,223705031,1.38%,34.788,0.661%,18085012119
SZ301208,中亦科技,62.3,+2.58,4.32%,22.32%,286800,17652114,1.72%,31.939,0.574%,4142668738
SZ300768,迪普科技,14.01,+0.58,4.32%,6.46%,1506300,20906409,0.39%,52.155,0.66%,9026483127
SH688139,海尔生物,70.05,+2.88,4.29%,10.66%,636485,44093705,0.2%,36.771,0.706%,22272573185
SZ000661,长春高新,210.74,+8.64,4.28%,26.61%,2610486,545334640,0.65%,20.957,0.384%,85290753915
SH600865,百大集团,9.25,+0.38,4.28%,-3.65%,2054356,18868467,0.55%,36.044,2.16%,3480222923
SH688356,键凯科技,172.93,+7.07,4.26%,10.46%,301023,51415039,0.83%,52.494,0.505%,10425603840
SZ300298,三诺生物,37.7,+1.54,4.26%,11.77%,1205100,44815552,0.26%,77.722,0.529%,21271163255
SZ002567,唐人神,7.61,+0.31,4.25%,7.49%,36290255,274219053,3.05%,-14.093,,10512024705
SZ002668,奥马电器,5.92,+0.24,4.23%,11.49%,12504058,73801938,1.15%,18.333,,6428780768
SH601020,华钰矿业,12.89,+0.52,4.2%,12.09%,8000099,102836117,1.42%,51.829,,7248376417
SZ300532,今天国际,16.89,+0.68,4.19%,16.64%,3397257,57167627,1.61%,23.344,0.7%,5188879687
SH603636,南威软件,14.97,+0.6,4.18%,8.95%,7546194,112811207,1.28%,80.714,0.566%,8844179863
SZ301080,百普赛斯,124.34,+4.97,4.16%,21.08%,401400,49474064,0.98%,45.528,1.206%,9968000000
SH688111,金山办公,279.64,+11.13,4.15%,5.73%,616985,170657875,0.13%,127.944,0.252%,128975988370
SH688259,创耀科技,79.75,+3.18,4.15%,6.32%,526941,41451737,0.92%,70.975,0.374%,6380000000
SH688579,山大地纬,10.78,+0.43,4.15%,10.11%,1592680,17002198,0.57%,41.393,0.929%,4312107800
SH603345,安井食品,167.67,+6.67,4.14%,3.58%,1337944,220951793,0.46%,55.983,0.42%,49176643879
SH601877,正泰电器,32.68,+1.3,4.14%,17.98%,10116182,327011595,0.47%,18.299,1.225%,70261135647
SZ300624,万兴科技,31.93,+1.27,4.14%,8.75%,1405100,44494087,1.25%,136.76,,4149007565
SZ000034,神州数码,23.91,+0.95,4.14%,8.98%,9591189,227103341,1.75%,18.277,0.789%,15982147432
SZ300135,宝利国际,3.03,+0.12,4.12%,10.18%,12258100,37140879,1.73%,-48.757,,2792448000
SH688118,普元信息,19.21,+0.76,4.12%,8.59%,423993,8040255,0.54%,131.911,2.596%,1832634000
SH688608,恒玄科技,123.01,+4.84,4.1%,7.9%,343316,41733989,0.43%,55.948,0.275%,14761200000
SH603317,天味食品,28.99,+1.14,4.09%,5.49%,2225965,63875990,0.3%,63.389,0.169%,22120938069
SH603520,司太立,21.61,+0.85,4.09%,10.42%,3489941,74745180,1.02%,59.856,1.654%,7410381027
SH603499,翔港科技,8.92,+0.35,4.08%,18.15%,1163372,10267237,0.58%,-263.91,,1794288712
SH603489,八方股份,115.11,+4.51,4.08%,7.59%,317700,36207048,0.26%,21.458,1.737%,13847403210
SH600211,西藏药业,38.29,+1.49,4.05%,6.6%,1450074,54871565,0.58%,40.724,0.89%,9493540008
SH603070,万控智造,19.02,+0.74,4.05%,8.07%,3513026,67876378,5.86%,38.511,0.78%,7627020000
SZ301302,华如科技,71.25,+2.77,4.04%,11.28%,428121,30143681,1.62%,46.044,,7514737500
SZ002353,杰瑞股份,30.89,+1.2,4.04%,10.68%,7929630,242528133,1.15%,16.344,0.544%,31722576347
SZ300730,科创信息,12.39,+0.48,4.03%,1.14%,6990594,85944451,3.98%,74.796,0.321%,2981201019
SH688789,宏华数科,173.51,+6.71,4.02%,0.51%,107656,18487239,0.26%,52.99,0.515%,13206826432
SZ300790,宇瞳光学,16.81,+0.65,4.02%,12.82%,1077020,17910433,0.43%,50.791,0.794%,5688178995
SZ300636,同和药业,15.79,+0.61,4.02%,6.62%,2283973,35850316,0.79%,62.127,0.235%,5529507727
SH688526,科前生物,24.92,+0.96,4.01%,11.25%,849627,20798959,0.7%,24.94,0.772%,11617902762
SZ002642,荣联科技,8.07,+0.31,3.99%,8.03%,20830300,166601845,3.44%,93.962,,5361549126
SZ001283,豪鹏科技,59.48,+2.28,3.99%,14.19%,1184390,70449949,5.92%,21.752,,4768800000
SZ002492,恒基达鑫,6.77,+0.26,3.99%,8.84%,10732944,73315128,2.69%,25.051,0.593%,2741850000
SZ002735,王子新材,22.53,+0.86,3.97%,7.64%,1534390,34105135,1.12%,51.652,,4807452465
SZ000670,盈方微,8.95,+0.34,3.95%,27.49%,77267061,679792785,12.66%,1243.172,,7300648598
SZ300604,长川科技,40.9,+1.55,3.94%,-8.25%,5893114,238109473,1.31%,59.438,0.245%,24698915113
SH600129,太极集团,32.96,+1.25,3.94%,9.65%,2868496,93613986,0.52%,-33.81,,18355118922
SZ000568,泸州老窖,253.9,+9.6,3.93%,13.21%,3699530,925411219,0.25%,37.774,1.282%,373758322743
SZ300996,普联软件,44.35,+1.67,3.91%,8.04%,192500,8424903,0.23%,57.678,0.671%,6296128546
SZ300786,国林科技,16.26,+0.61,3.9%,5.65%,902960,14546746,0.66%,118.518,0.506%,2988417875
SZ301235,华康医疗,39.25,+1.47,3.89%,9.73%,951743,37510534,3.87%,39.212,0.254%,4144800000
SH600867,通化东宝,10.14,+0.38,3.89%,10.46%,9977931,99617049,0.5%,12.301,5.46%,20215901541
SZ300799,左江科技,126.87,+4.71,3.86%,-2.68%,312050,39063490,0.47%,-134.604,0.008%,12948352200
